"id_curso";"nome";"grau_academico";"modalidade_educacao"
"118880834";"LETRAS - LÍNGUA ESPANHOLA";"LICENCIATURA";"Presencial"
"118922626";"LETRAS - LÍNGUA PORTUGUESA";"LICENCIATURA";"Presencial"
"118881115";"LETRAS - LÍNGUA PORTUGUESA";"LICENCIATURA";"Presencial"
"118921874";"LETRAS - LÍNGUA PORTUGUESA E LIBRAS";"LICENCIATURA";"Presencial"
"102191189";"LICENCIATURA EM CIÊNCIAS SOCIAIS";"LICENCIATURA";"Presencial"
"2000134";"MATEMÁTICA";"LICENCIATURA";"A Distância"
"111635066";"MATEMÁTICA";"LICENCIATURA";"Presencial"
"2000055";"MATEMÁTICA";"LICENCIATURA";"Presencial"
"2000054";"MATEMÁTICA";"BACHARELADO";"Presencial"
"85436489";"MATEMÁTICA";"LICENCIATURA";"Presencial"
"104831949";"MEDICINA";"BACHARELADO";"Presencial"
"2000056";"MEDICINA";"BACHARELADO";"Presencial"
"101644626";"METEOROLOGIA";"BACHARELADO";"Presencial"
"111635069";"MÚSICA";"LICENCIATURA";"Presencial"
"2000057";"MÚSICA";"BACHARELADO";"Presencial"
"10317040";"NUTRIÇÃO";"BACHARELADO";"Presencial"
"2000058";"NUTRIÇÃO";"BACHARELADO";"Presencial"
"2000059";"ODONTOLOGIA";"BACHARELADO";"Presencial"
"50799262";"PEDAGOGIA";"LICENCIATURA";"A Distância"
"2000063";"PEDAGOGIA";"LICENCIATURA";"Presencial"
"2000064";"PEDAGOGIA";"LICENCIATURA";"Presencial"
"2000066";"PSICOLOGIA";"BACHARELADO";"Presencial"
"102160763";"PSICOLOGIA";"BACHARELADO";"Presencial"
"111635075";"QUÍMICA";"LICENCIATURA";"Presencial"
"2000144";"QUÍMICA";"LICENCIATURA";"A Distância"
"2000067";"QUÍMICA";"BACHARELADO";"Presencial"
"3156200";"QUÍMICA DO PETRÓLEO";"BACHARELADO";"Presencial"
"2000068";"SERVIÇO SOCIAL";"BACHARELADO";"Presencial"
"7191770";"SISTEMAS DE INFORMAÇÃO";"BACHARELADO";"Presencial"
"2000158";"TEATRO";"LICENCIATURA";"Presencial"
"92127264";"TECNOLOGIA DA INFORMAÇÃO";"BACHARELADO";"Presencial"
"2000071";"TURISMO";"BACHARELADO";"Presencial"
"2000069";"TURISMO";"BACHARELADO";"Presencial"
"6358080";"ZOOTECNIA";"BACHARELADO";"Presencial"
