id_turma;num_reprovados;num_aprovados;media_aprovados;codigo_turma;id_docente_interno;id_docente_externo;id_componente_curricular;ano;periodo
57600862;8;51;9.0;02;23920.0;;2021960;2017;1
57600863;0;360;8.25;02;18667.0;;2022402;2017;1
57600864;2;45;8.1;02;23920.0;;2022411;2017;1
57600865;4;54;8.7;02;5756357.0;;2022407;2017;1
57600866;2;6;8.0;01;26644.0;;41759;2017;1
57600867;25;24;5.5;03;5756884.0;;61141;2017;1
57600868;6;6;8.5;01;23594.0;;18647;2017;1
57600870;12;288;8.6;05;5752488.0;;62600;2017;1
57600872;9;33;7.0;06;19097.0;;41407;2017;1
57600873;7;36;7.800000000000001;03;5755559.0;;41410;2017;1
57600874;25;42;5.75;02;5757229.0;;24339;2017;1
57600875;4;33;5.8;01;22911.0;;22940;2017;1
57600876;7;21;9.2;04;5752725.0;;23145;2017;1
57600877;0;9;7.5;02;5757613.0;;21888;2017;1
57600878;0;33;9.1;01;5752664.0;;61199;2017;1
57600880;0;9;7.3;01;5758576.0;;2038791;2017;1
57600881;3;15;9.7;01;5757525.0;;57608;2017;1
57600882;0;24;8.25;01;21977.0;;2038788;2017;1
57600883;0;18;8.1;01;;107360318.0;55235;2017;1
57600884;0;75;8.4;01;5758576.0;;2038790;2017;1
57600885;1;21;8.3;01;5757525.0;;2038805;2017;1
57600887;0;90;6.7;03;17562.0;;60200;2017;1
57600888;0;75;8.6;02;5757684.0;;63465;2017;1
57600890;9;15;5.7;01A;5757983.0;;41882;2017;1
57600895;2;0;;06B;5754369.0;;57597;2017;1
57600899;8;32;4.5;01;18543.0;;54129;2017;1
57600901;27;42;7.4;09A;5757550.0;;57597;2017;1
57600902;2;48;8.3;02;21385.0;;25870;2017;1
57600903;19;54;7.1;09B;5757550.0;;57597;2017;1
57600904;56;96;8.75;09C;5752264.0;;57597;2017;1
57600905;50;96;7.550000000000001;09D;5752264.0;;57597;2017;1
57600907;24;45;7.7;10A;5754369.0;;57597;2017;1
57600908;22;33;7.3;10B;5754369.0;;57597;2017;1
57600909;33;24;8.149999999999999;10C;5754369.0;;57597;2017;1
57600910;25;36;6.65;10D;5754369.0;;57597;2017;1
57600912;84;90;6.2;11A;5752264.0;;57597;2017;1
57600913;68;78;7.3;11B;5752264.0;;57597;2017;1
57600914;0;6;9.5;01;26173.0;;48196;2017;1
57600915;29;24;7.949999999999999;11C;5753317.0;;57597;2017;1
57600916;16;27;6.9;11D;5753317.0;;57597;2017;1
57600917;0;6;9.350000000000001;02;25448.0;;48196;2017;1
57600918;0;5;9.7;03;5754337.0;;48196;2017;1
57600919;0;6;9.45;04;5757832.0;;48196;2017;1
57600920;0;5;9.4;05;5759173.0;;48196;2017;1
57600921;1;4;9.0;06;5758009.0;;48196;2017;1
57600922;0;84;8.8;03;5752990.0;;63734;2017;1
57600923;0;96;9.0;04;5752990.0;;63734;2017;1
57600924;6;15;8.0;02;3031765.0;;51578;2017;1
57600925;0;0;;01;5758461.0;;63897;2017;1
57600926;3;30;8.7;01;26523.0;;21820;2017;1
57600932;11;69;8.6;02;5756804.0;;43540;2017;1
57600934;75;207;6.7;01;25154.0;;43101;2017;1
57600935;0;0;;03;63717.0;;18831;2017;1
57600939;2;2;4.0;01;26132.0;;45275;2017;1
57600940;3;3;10.0;01;37484.0;;23194;2017;1
57600942;3;15;9.2;01;23108.0;;23083;2017;1
57600943;9;39;8.0;01;5753865.0;;52997;2017;1
57600944;0;9;9.3;03;23108.0;;51726;2017;1
57600945;6;42;9.1;01;5753902.0;;52998;2017;1
57600946;9;39;7.5;01;5752280.0;;52999;2017;1
57600947;13;24;6.5;02;5754955.0;;51457;2017;1
57600948;12;30;9.25;01;22789.0;;64207;2017;1
57600950;9;21;6.1;06A;5756344.0;;57599;2017;1
57600951;6;18;5.45;06B;5756344.0;;57599;2017;1
57600952;0;30;5.0;01;5752176.0;;60720;2017;1
57600953;19;45;6.1;06C;5756344.0;;57599;2017;1
57600957;9;27;6.4;02;5759137.0;;41677;2017;1
57600958;17;13;4.0;01;;117005411.0;62214;2017;1
57600959;15;48;5.9;06D;5756344.0;;57599;2017;1
57600960;34;48;5.85;04D;5757787.0;;57599;2017;1
57600961;60;96;5.65;05D;5757787.0;;57599;2017;1
57600962;1;2;10.0;04;22886.0;;18831;2017;1
57600964;21;39;5.7;05A;5758565.0;;57624;2017;1
57600965;22;27;6.3;05B;5758565.0;;57624;2017;1
57600966;25;30;5.2;05C;5758565.0;;57624;2017;1
57600968;0;10;7.7;03;5752256.0;;63723;2017;1
57600975;6;8;9.45;01;22880.0;;18818;2017;1
57600976;20;216;8.75;02;5754927.0;;43443;2017;1
57600977;0;7;9.0;05;5758243.0;;52634;2017;1
57600978;0;7;9.1;06;5757431.0;;52634;2017;1
57600979;0;14;8.3;05;5752176.0;;52635;2017;1
57600980;0;14;7.3;06;5752176.0;;52635;2017;1
57600981;40;21;6.7;01B;5757997.0;;46636;2017;1
57600982;4;51;6.4;01B;5759181.0;;46682;2017;1
57600983;9;30;8.1;01;5757700.0;;40127;2017;1
57600984;3;9;9.7;02;5757598.0;;20014;2017;1
57600985;0;28;8.5;02;5756259.0;;64141;2017;1
57600986;27;180;6.550000000000001;01;18408.0;;47032;2017;1
57600987;0;3;5.0;01;5753056.0;;49468;2017;1
57600988;2;9;4.0;01;5758532.0;;63778;2017;1
57600995;7;16;4.0;01;;121376627.0;58356;2017;1
57600999;0;0;;01;37428.0;;60326;2017;1
57601000;0;4;5.0;02;22824.0;;61505;2017;1
57601007;0;0;;01;5753010.0;;60332;2017;1
57601008;1;0;;03;24189.0;;18799;2017;1
57601010;0;12;4.5;01;5753699.0;;39733;2017;1
57601011;0;10;5.0;01;5756809.0;;39688;2017;1
