"id_curriculo_componente";"id_curriculo";"id_componente_curricular";"tipo_vinculo_componente"
"51287362";"35703210";"43118";"OBRIGATÓRIO"
"108427243";"108427169";"2038781";"OBRIGATÓRIO"
"110623";"100634";"26701";"OPTATIVO"
"114440";"100516";"20948";"OBRIGATÓRIO"
"138448";"100576";"28320";"OPTATIVO"
"126620";"100443";"22829";"OPTATIVO"
"115271565";"115271549";"41838";"OPTATIVO"
"11091140";"9463980";"2045500";"OBRIGATÓRIO"
"132986";"100594";"24738";"OBRIGATÓRIO"
"113092";"100578";"25146";"OBRIGATÓRIO"
"98793342";"96085636";"43130";"OPTATIVO"
"102509";"100699";"25591";"OBRIGATÓRIO"
"114579";"100837";"21865";"OBRIGATÓRIO"
"102264920";"101668583";"23538";"OPTATIVO"
"24637670";"24636380";"24175";"OBRIGATÓRIO"
"105664";"100379";"21991";"OPTATIVO"
"2982651";"2982640";"26523";"OBRIGATÓRIO"
"136948";"100248";"25908";"OBRIGATÓRIO"
"107582900";"98709068";"57775";"OPTATIVO"
"120481213";"120481177";"48469";"OPTATIVO"
"35705771";"25767751";"57578";"OBRIGATÓRIO"
"98189511";"98189470";"26152";"OBRIGATÓRIO"
"111183";"100815";"24271";"OBRIGATÓRIO"
"51333745";"51333655";"24723";"OBRIGATÓRIO"
"134863";"100715";"25735";"OBRIGATÓRIO"
"89387921";"507685511";"25683";"OPTATIVO"
"51034323";"510342300";"20657";"OPTATIVO"
"86568028";"510231322";"46256";"OPTATIVO"
"96081756";"96081737";"52782";"OBRIGATÓRIO"
"128583";"100581";"23145";"OBRIGATÓRIO"
"119527974";"119527905";"2038904";"OBRIGATÓRIO"
"51023235";"510231320";"26029";"OPTATIVO"
"124329";"100527";"27439";"OPTATIVO"
"103613";"100828";"26211";"OBRIGATÓRIO"
"117676";"100300";"22822";"OBRIGATÓRIO"
"108923";"100219";"25499";"OPTATIVO"
"96083942";"96083912";"57691";"OBRIGATÓRIO"
"106272";"100228";"24882";"OBRIGATÓRIO"
"111399";"100622";"26786";"OPTATIVO"
"135732";"100844";"28012";"OPTATIVO"
"138919";"100590";"24479";"OBRIGATÓRIO"
"96724540";"89864189";"40111";"OPTATIVO"
"110542987";"110542944";"55360";"OBRIGATÓRIO"
"115629599";"105755388";"61099";"OPTATIVO"
"51391382";"51329727";"43814";"OPTATIVO"
"85505068";"85396038";"45148";"OPTATIVO"
"114272";"100715";"24021";"OBRIGATÓRIO"
"125235";"100432";"22603";"OBRIGATÓRIO"
"91281132";"91279818";"2055447";"OPTATIVO"
"133955";"100382";"27837";"OBRIGATÓRIO"
"105764048";"101669382";"2054956";"OPTATIVO"
"103785";"100391";"26245";"OBRIGATÓRIO"
"118966";"100278";"25477";"OBRIGATÓRIO"
"123540297";"105755388";"25561";"OPTATIVO"
"119526718";"119526614";"2035558";"OBRIGATÓRIO"
"108906";"100767";"21185";"OBRIGATÓRIO"
"89440390";"89437582";"25664";"OPTATIVO"
"110128";"100772";"21266";"OBRIGATÓRIO"
"134369";"100705";"22910";"OBRIGATÓRIO"
"101669452";"101669382";"55049";"OPTATIVO"
"105139";"100623";"26423";"OPTATIVO"
"110543008";"110542944";"59354";"OBRIGATÓRIO"
"123282";"100691";"25950";"OBRIGATÓRIO"
"94561079";"94084232";"23114";"OPTATIVO"
"10377005";"10374380";"2045055";"OBRIGATÓRIO"
"105757379";"105755388";"55047";"OPTATIVO"
"112120";"100264";"21585";"OBRIGATÓRIO"
"89385065";"507685510";"23233";"OPTATIVO"
"105852648";"101659860";"2054957";"OPTATIVO"
"85865393";"10336004";"2051852";"OPTATIVO"
"120237440";"98776589";"63299";"OBRIGATÓRIO"
"51333735";"51333655";"46189";"OBRIGATÓRIO"
"110402216";"110402202";"50420";"OPTATIVO"
"121324426";"121323873";"2041312";"OPTATIVO"
"127467";"100189";"22886";"OPTATIVO"
"109427";"100652";"21191";"OPTATIVO"
"111882";"100413";"21531";"OBRIGATÓRIO"
"115306824";"115306807";"57606";"OBRIGATÓRIO"
"7118472";"7118460";"27718";"OBRIGATÓRIO"
"115838531";"115522686";"46964";"OBRIGATÓRIO"
"119733";"100373";"22143";"OBRIGATÓRIO"
"101698";"100356";"22770";"OPTATIVO"
"115802458";"115802434";"57591";"OBRIGATÓRIO"
"89607350";"89606241";"2051150";"OPTATIVO"
"129679";"100293";"23171";"OPTATIVO"
"115271604";"115271549";"57627";"OBRIGATÓRIO"
"129100";"100421";"23149";"OPTATIVO"
"105512225";"105512207";"55996";"OBRIGATÓRIO"
"106002";"100506";"25602";"OBRIGATÓRIO"
"115838897";"115838871";"57587";"OBRIGATÓRIO"
"115444336";"115444268";"46946";"OBRIGATÓRIO"
"50841838";"508409070";"21036";"OPTATIVO"
"108420";"100234";"21112";"OPTATIVO"
"136941";"100243";"25775";"OBRIGATÓRIO"
"129645";"100572";"25675";"OPTATIVO"
"138458";"100576";"28325";"OPTATIVO"
"113730";"100217";"21712";"OBRIGATÓRIO"
"129660";"100619";"25675";"OPTATIVO"
"125956";"100402";"22755";"OBRIGATÓRIO"
"98189428";"98189385";"52863";"OBRIGATÓRIO"
"92566984";"90472097";"2055153";"OPTATIVO"
"114038";"100216";"21724";"OPTATIVO"
"90466316";"10437071";"50359";"OBRIGATÓRIO"
"106567";"100767";"26537";"OPTATIVO"
"119528832";"119528792";"2038808";"OBRIGATÓRIO"
"103469";"100614";"26174";"OPTATIVO"
"51333637";"51333557";"25631";"OBRIGATÓRIO"
"14026999";"14022591";"25662";"OPTATIVO"
"129614";"100360";"25675";"OPTATIVO"
"50682603";"506825900";"21754";"OBRIGATÓRIO"
"115992";"100550";"22069";"OBRIGATÓRIO"
"89397025";"89396200";"41803";"OBRIGATÓRIO"
"104855";"100761";"26383";"OPTATIVO"
"105694124";"105694093";"2041507";"OPTATIVO"
"110402733";"110402692";"2051006";"OBRIGATÓRIO"
"51010915";"508377771";"24564";"OPTATIVO"
"50561336";"505612071";"22025";"OBRIGATÓRIO"
"24666089";"7438730";"41703";"OPTATIVO"
"134590";"100699";"23773";"OBRIGATÓRIO"
"119528823";"119528792";"2038912";"OPTATIVO"
"111120";"100703";"26752";"OBRIGATÓRIO"
"138749";"100729";"28378";"OBRIGATÓRIO"
"115507";"100561";"24964";"OBRIGATÓRIO"
"98189490";"98189470";"52880";"OPTATIVO"
"119515909";"119515799";"2055436";"OPTATIVO"
"118564";"100323";"22183";"OBRIGATÓRIO"
"138809";"100775";"24465";"OBRIGATÓRIO"
"50871935";"508719310";"25603";"OBRIGATÓRIO"
"121756";"100465";"25485";"OBRIGATÓRIO"
"113268";"100462";"21613";"OBRIGATÓRIO"
"110402255";"110402202";"41880";"OBRIGATÓRIO"
"107582747";"10320220";"57752";"OPTATIVO"
"120480695";"120480419";"54162";"OPTATIVO"
"89768245";"27289611";"43208";"OPTATIVO"
"121758";"100482";"25485";"OBRIGATÓRIO"
"106214";"100768";"20880";"OPTATIVO"
"105776";"100849";"39970";"OBRIGATÓRIO"
"119242466";"102200805";"51457";"OPTATIVO"
"51028234";"510278491";"23505";"OBRIGATÓRIO"
"96081129";"96081110";"52786";"OBRIGATÓRIO"
"124245";"100405";"27439";"OPTATIVO"
"116106201";"107405556";"45260";"OPTATIVO"
"50768602";"507685510";"2049445";"OPTATIVO"
"113895";"100217";"26919";"OPTATIVO"
"25272021";"100506";"41703";"OPTATIVO"
"90472208";"90472097";"28203";"OPTATIVO"
"87696982";"87203525";"47474";"OBRIGATÓRIO"
"137002";"100246";"24125";"OBRIGATÓRIO"
"132050";"100664";"23326";"OBRIGATÓRIO"
"105496";"100193";"23460";"OPTATIVO"
"98403285";"507863460";"26670";"OPTATIVO"
"136662";"100242";"28080";"OPTATIVO"
"133183";"100807";"20027";"OBRIGATÓRIO"
"135005";"100837";"23844";"OBRIGATÓRIO"
"2985047";"2984610";"2020267";"OBRIGATÓRIO"
"89234285";"89223709";"2036503";"OPTATIVO"
"118437";"100846";"27232";"OBRIGATÓRIO"
"102115";"100850";"25980";"OPTATIVO"
"128168";"100758";"25054";"OBRIGATÓRIO"
"10338185";"10336003";"2045012";"OBRIGATÓRIO"
"89223911";"89223824";"41436";"OPTATIVO"
"92582765";"8425761";"23191";"OPTATIVO"
"123046";"100475";"25394";"OPTATIVO"
"114716";"100611";"26989";"OPTATIVO"
"98187419";"98187355";"52894";"OPTATIVO"
"117977";"100347";"25502";"OBRIGATÓRIO"
"132596";"100281";"25858";"OBRIGATÓRIO"
"89396549";"89396542";"2051002";"OBRIGATÓRIO"
"13214169";"13210450";"2047907";"OBRIGATÓRIO"
"121124959";"121124901";"61186";"OBRIGATÓRIO"
"120217";"100336";"27307";"OPTATIVO"
"85840444";"85839892";"46949";"OBRIGATÓRIO"
"101824";"100849";"24868";"OPTATIVO"
"101731";"100850";"39979";"OPTATIVO"
"24637650";"24636380";"25693";"OBRIGATÓRIO"
"132575";"100284";"25861";"OPTATIVO"
"85861905";"510231322";"41804";"OPTATIVO"
"85865368";"10336004";"2051758";"OPTATIVO"
"27735181";"13461321";"28256";"OPTATIVO"
"128940";"100656";"20827";"OBRIGATÓRIO"
"128805";"100363";"23147";"OBRIGATÓRIO"
"119177206";"119177058";"51568";"OPTATIVO"
"137556";"100449";"24152";"OBRIGATÓRIO"
"136224";"100652";"25778";"OBRIGATÓRIO"
"127132";"100627";"27673";"OPTATIVO"
"108427199";"108427169";"24946";"OBRIGATÓRIO"
"107768";"100525";"25296";"OBRIGATÓRIO"
"90812041";"51401944";"26796";"OPTATIVO"
"51246582";"27289611";"43028";"OBRIGATÓRIO"
"132750";"100283";"25859";"OPTATIVO"
"105170";"100624";"26429";"OPTATIVO"
"115125";"100562";"21919";"OBRIGATÓRIO"
"129399";"100609";"25669";"OPTATIVO"
"105900";"100493";"20801";"OPTATIVO"
"98187363";"98187355";"52883";"OBRIGATÓRIO"
"10403501";"10402130";"27992";"OPTATIVO"
"421273520";"512507271";"42106";"OPTATIVO"
"127846";"100203";"22845";"OBRIGATÓRIO"
"85964340";"85964276";"2050800";"OBRIGATÓRIO"
"106490";"100775";"26533";"OPTATIVO"
"119515883";"119515799";"27751";"OPTATIVO"
"107405268";"107405230";"57589";"OBRIGATÓRIO"
"101624";"100486";"22771";"OBRIGATÓRIO"
"112967";"100460";"25145";"OPTATIVO"
"24863085";"100758";"41703";"OPTATIVO"
"89905803";"51329859";"48475";"OPTATIVO"
"115776";"100710";"23855";"OPTATIVO"
"3203660";"3202620";"40068";"OBRIGATÓRIO"
"96084013";"96083666";"43046";"OBRIGATÓRIO"
"110137";"100773";"26682";"OBRIGATÓRIO"
"89406176";"89223709";"48579";"OPTATIVO"
"51023476";"510230602";"23313";"OBRIGATÓRIO"
"119524145";"119524092";"25642";"OPTATIVO"
"89396410";"89396389";"2051704";"OBRIGATÓRIO"
"102192";"100848";"26001";"OBRIGATÓRIO"
"9467401";"9463981";"2038753";"OBRIGATÓRIO"
"105557";"100581";"20732";"OBRIGATÓRIO"
"86401499";"86401417";"41439";"OPTATIVO"
"138481";"100558";"28337";"OPTATIVO"
"116140533";"27890050";"54597";"OPTATIVO"
"121549";"100302";"22201";"OPTATIVO"
"51025398";"510231324";"22487";"OPTATIVO"
"119312";"100309";"22147";"OBRIGATÓRIO"
"113265";"100831";"26863";"OBRIGATÓRIO"
"134307";"100244";"25585";"OPTATIVO"
"112439165";"105755388";"55038";"OPTATIVO"
"102771";"100682";"24612";"OBRIGATÓRIO"
"102390035";"102390005";"46498";"OBRIGATÓRIO"
"108003";"100353";"24973";"OBRIGATÓRIO"
"19004835";"17951660";"2055885";"OBRIGATÓRIO"
"138271";"100558";"25823";"OPTATIVO"
"138111";"100575";"21145";"OBRIGATÓRIO"
"146657";"5848060";"25134";"OBRIGATÓRIO"
"102091";"100850";"24563";"OPTATIVO"
"85861920";"510231322";"45839";"OPTATIVO"
"51011051";"508377771";"43379";"OPTATIVO"
"135272";"100675";"27981";"OPTATIVO"
"50768552";"507685510";"2049408";"OBRIGATÓRIO"
"136304";"100271";"25778";"OBRIGATÓRIO"
"111998";"100808";"25187";"OPTATIVO"
"115273223";"115273212";"2051005";"OBRIGATÓRIO"
"114795417";"114795355";"46256";"OPTATIVO"
"18257120";"18257050";"2052053";"OPTATIVO"
"121869";"100541";"22226";"OBRIGATÓRIO"
"133627";"100614";"25707";"OBRIGATÓRIO"
"118237";"100542";"27197";"OPTATIVO"
"121631491";"121631446";"47963";"OBRIGATÓRIO"
"121588";"100333";"22203";"OPTATIVO"
"121507982";"121507906";"62599";"OBRIGATÓRIO"
"115129";"100562";"21920";"OBRIGATÓRIO"
"136144";"100705";"24053";"OPTATIVO"
"98709098";"98709068";"25074";"OBRIGATÓRIO"
"90471784";"90471697";"2049443";"OPTATIVO"
"51191802";"511917300";"46631";"OBRIGATÓRIO"
"50871756";"508717430";"43427";"OBRIGATÓRIO"
"136041";"100690";"22051";"OBRIGATÓRIO"
"421273527";"512507271";"42118";"OPTATIVO"
"134577";"100688";"23504";"OBRIGATÓRIO"
"102200842";"102200805";"55059";"OPTATIVO"
"85352187";"85347824";"46368";"OBRIGATÓRIO"
"129789";"100363";"25647";"OBRIGATÓRIO"
"118866";"100337";"22141";"OBRIGATÓRIO"
"132798";"100385";"27780";"OBRIGATÓRIO"
"122816599";"115838871";"54545";"OPTATIVO"
"136792";"100242";"28106";"OPTATIVO"
"85964342";"85964276";"2051001";"OBRIGATÓRIO"
"102791296";"102791232";"41703";"OPTATIVO"
"119075267";"119075210";"57625";"OBRIGATÓRIO"
"108427171";"108427169";"2038788";"OPTATIVO"
"106916";"100722";"22762";"OBRIGATÓRIO"
"115158";"100525";"21986";"OPTATIVO"
"10336418";"10336002";"2044851";"OBRIGATÓRIO"
"24890123";"100830";"41703";"OPTATIVO"
"89396005";"89395970";"46256";"OPTATIVO"
"111466";"100620";"26792";"OBRIGATÓRIO"
"121629";"100528";"22205";"OPTATIVO"
"125244807";"107405556";"64808";"OPTATIVO"
"128657";"100425";"23146";"OBRIGATÓRIO"
"101667709";"101658777";"52690";"OPTATIVO"
"89396592";"10437070";"25983";"OPTATIVO"
"131954";"100282";"23340";"OBRIGATÓRIO"
"124251";"100490";"27439";"OPTATIVO"
"121070";"100296";"27329";"OPTATIVO"
"106415";"100233";"24927";"OBRIGATÓRIO"
"119935";"100319";"22181";"OBRIGATÓRIO"
"114635";"100614";"24287";"OPTATIVO"
"138489";"100558";"28341";"OPTATIVO"
"112918";"100415";"21579";"OPTATIVO"
"96254682";"89437582";"23192";"OPTATIVO"
"115838543";"115522686";"47023";"OBRIGATÓRIO"
"134776";"100612";"23818";"OBRIGATÓRIO"
"103451";"100618";"20398";"OBRIGATÓRIO"
"119495";"100537";"23456";"OBRIGATÓRIO"
"118741";"100474";"25476";"OBRIGATÓRIO"
"50768726";"507685511";"2049442";"OPTATIVO"
"89603298";"100803";"43094";"OPTATIVO"
"25006280";"100552";"41702";"OPTATIVO"
"50561334";"505612071";"21965";"OBRIGATÓRIO"
"51333758";"51333655";"43804";"OBRIGATÓRIO"
"421273625";"512507271";"46223";"OBRIGATÓRIO"
"113372599";"107405230";"48470";"OPTATIVO"
"114793620";"114793595";"51570";"OPTATIVO"
"119510190";"119510147";"53193";"OBRIGATÓRIO"
"132826";"100385";"27787";"OBRIGATÓRIO"
"108740881";"94969236";"54274";"OBRIGATÓRIO"
"119342";"100362";"22147";"OBRIGATÓRIO"
"120412";"100535";"25484";"OBRIGATÓRIO"
"86543024";"85787838";"2051707";"OBRIGATÓRIO"
"124531";"100635";"27439";"OPTATIVO"
"130483";"100275";"23306";"OBRIGATÓRIO"
"3002996";"2984610";"2020283";"OPTATIVO"
"114793599";"114793595";"2055950";"OPTATIVO"
"125108809";"114795355";"62473";"OBRIGATÓRIO"
"15344849";"10336004";"2051052";"OBRIGATÓRIO"
"123780";"100184";"25456";"OPTATIVO"
"112874";"100644";"21552";"OBRIGATÓRIO"
"116196";"100486";"22070";"OBRIGATÓRIO"
"146705";"5848060";"2020559";"OPTATIVO"
"109122";"100586";"25499";"OPTATIVO"
"98792814";"510230607";"2037021";"OBRIGATÓRIO"
"51023567";"510230602";"2042101";"OPTATIVO"
"50852888";"508528570";"43339";"OBRIGATÓRIO"
"116149";"100545";"22065";"OBRIGATÓRIO"
"122350";"100818";"25339";"OBRIGATÓRIO"
"2938703";"2938530";"2019565";"OPTATIVO"
"50844177";"508409070";"22790";"OPTATIVO"
"131333";"100349";"25649";"OBRIGATÓRIO"
"137901";"100223";"24181";"OBRIGATÓRIO"
"90472104";"90472097";"2045254";"OPTATIVO"
"27682758";"13461320";"28309";"OPTATIVO"
"132597";"100661";"25858";"OBRIGATÓRIO"
"115359861";"115306301";"46462";"OPTATIVO"
"119728";"100531";"22143";"OBRIGATÓRIO"
"85848739";"10336005";"41881";"OPTATIVO"
"101129";"100566";"20054";"OBRIGATÓRIO"
"89385083";"507685510";"28231";"OPTATIVO"
"119075273";"119075210";"22916";"OBRIGATÓRIO"
"113673";"100699";"25260";"OPTATIVO"
"24800546";"24798170";"41716";"OBRIGATÓRIO"
"107115";"100614";"24953";"OBRIGATÓRIO"
"120715";"100340";"22196";"OBRIGATÓRIO"
"103464";"100619";"26173";"OPTATIVO"
"89768260";"27289611";"43137";"OPTATIVO"
"119527972";"119527905";"2038815";"OBRIGATÓRIO"
"105759130";"105755388";"23558";"OPTATIVO"
"50665401";"506651401";"25575";"OBRIGATÓRIO"
"50586213";"505860900";"28329";"OPTATIVO"
"27682825";"13461320";"28246";"OPTATIVO"
"137860";"100774";"24266";"OBRIGATÓRIO"
"122302";"100393";"25352";"OBRIGATÓRIO"
"51397259";"51333655";"2036857";"OPTATIVO"
"122075";"100542";"22271";"OBRIGATÓRIO"
"113005";"100267";"21573";"OPTATIVO"
"51028283";"510278492";"46207";"OBRIGATÓRIO"
"122092";"100580";"22273";"OBRIGATÓRIO"
"124218";"100323";"27439";"OPTATIVO"
"103946";"100453";"20438";"OPTATIVO"
"115479282";"115479262";"60187";"OBRIGATÓRIO"
"116001";"100351";"22069";"OBRIGATÓRIO"
"27682782";"13461320";"28293";"OPTATIVO"
"104963";"100669";"24806";"OPTATIVO"
"103751";"100392";"26238";"OBRIGATÓRIO"
"101669297";"101669220";"55074";"OPTATIVO"
"28277465";"100813";"23224";"OPTATIVO"
"137739";"100719";"24533";"OPTATIVO"
"128438";"100271";"25639";"OBRIGATÓRIO"
"115850";"100730";"25330";"OBRIGATÓRIO"
"5848087";"20506161";"2020105";"OBRIGATÓRIO"
"134448";"100707";"21063";"OBRIGATÓRIO"
"119100634";"119075210";"63035";"OPTATIVO"
"136522";"100241";"24087";"OBRIGATÓRIO"
"85370599";"85370597";"46340";"OBRIGATÓRIO"
"51396915";"51333557";"2036853";"OPTATIVO"
"104124";"100685";"22875";"OBRIGATÓRIO"
"110192";"100216";"26687";"OPTATIVO"
"146783";"5848060";"2020718";"OBRIGATÓRIO"
"135550";"100843";"27994";"OBRIGATÓRIO"
"131767";"100314";"25555";"OPTATIVO"
"115838931";"115838871";"46457";"OBRIGATÓRIO"
"112872";"100643";"21552";"OPTATIVO"
"120480685";"120480419";"60547";"OPTATIVO"
"101482";"100437";"20051";"OPTATIVO"
"128821";"100658";"23147";"OBRIGATÓRIO"
"113746";"100217";"21720";"OBRIGATÓRIO"
"101492";"100373";"20051";"OPTATIVO"
"107975";"100234";"21134";"OBRIGATÓRIO"
"121785";"100371";"25485";"OBRIGATÓRIO"
"115638261";"505612070";"59634";"OPTATIVO"
"136274";"100232";"25778";"OBRIGATÓRIO"
"9635106";"100757";"25099";"OBRIGATÓRIO"
"121858";"100480";"22226";"OPTATIVO"
"120036";"100473";"25492";"OBRIGATÓRIO"
"121323916";"121323873";"42404";"OBRIGATÓRIO"
"50768720";"507685511";"2049500";"OBRIGATÓRIO"
"137753";"100728";"24262";"OBRIGATÓRIO"
"7182580";"7182460";"26771";"OPTATIVO"
"113496926";"100757";"57770";"OPTATIVO"
"421273595";"512507271";"25658";"OBRIGATÓRIO"
"13536461";"10340341";"2041509";"OBRIGATÓRIO"
"51397231";"51333655";"26559";"OPTATIVO"
"105766";"100849";"40020";"OBRIGATÓRIO"
"131224";"100655";"23299";"OPTATIVO"
"86145897";"100811";"41934";"OPTATIVO"
"120056";"100631";"25492";"OBRIGATÓRIO"
"106697";"100633";"26543";"OPTATIVO"
"51028257";"510278492";"2049252";"OBRIGATÓRIO"
"85703400";"85702983";"45847";"OBRIGATÓRIO"
"50848678";"27289610";"43061";"OPTATIVO"
"19336658";"8601560";"2053981";"OPTATIVO"
"18257121";"18257050";"2052054";"OPTATIVO"
"113445";"100218";"21723";"OBRIGATÓRIO"
"122483";"100480";"27364";"OBRIGATÓRIO"
"134589";"100303";"23773";"OPTATIVO"
"120026";"100662";"25492";"OBRIGATÓRIO"
"20911196";"20712400";"41236";"OBRIGATÓRIO"
"110109";"100521";"24987";"OPTATIVO"
"107230";"100614";"20991";"OPTATIVO"
"103019";"100288";"20336";"OBRIGATÓRIO"
"132836";"100388";"27789";"OBRIGATÓRIO"
"112762";"100603";"21566";"OPTATIVO"
"106572";"100232";"20891";"OPTATIVO"
"51299562";"5011500";"2042277";"OPTATIVO"
"103777";"100390";"26243";"OBRIGATÓRIO"
"18228646";"18164941";"2055514";"OBRIGATÓRIO"
"114893";"100560";"21959";"OBRIGATÓRIO"
"122763";"100466";"25411";"OBRIGATÓRIO"
"131899";"100660";"25603";"OBRIGATÓRIO"
